Food_Category,Moisture_Content_pct,pH,Water_Activity,Protein_Content_pct,Fat_Content_pct,Storage_Temp_C,Relative_Humidity_pct,Packaging_Type,Preservative_Conc_pct,Shelf_Life_Days
MEAT,65.3,6.09,0.987,4.6,3.6,10.5,48.6,Standard Plastic,0.258,3.1
Seafood,75.1,6.55,0.984,,1.3,2.1,58.4,Modified Atmosphere,0.492,2.8
Condiments,48.0,3.87,0.798,4.0,,1.2,64.1,Vacuum Sealed,0.234,244.8
Meat,69.8,5.87,0.973,27.2,10.8,16.1,36.7,Cardboard,0.284,1.0
Meat,69.7,6.49,0.979,23.2,16.7,17.6,45.8,,0.278,1.0
Bakery,28.3,6.58,0.816,6.3,5.6,,68.9,Vacuum Sealed,0.301,7.5
Produce,78.9,4.9,0.956,3.2,1.4,17.1,63.5,Standard Plastic,0.199,2.2
Produce,77.0,5.77,0.969,2.3,1.9,1.4,61.6,Cardboard,0.305,6.9
Snacks,4.8,6.37,0.324,7.3,16.6,6.7,92.9,Modified Atmosphere,0.394,152.1
Dairy,61.2,,0.979,3.7,7.8,95.3,78.0,Standard Plastic,0.227,6.5
Beverages,,4.22,0.967,0.2,1.2,23.3,85.3,Vacuum Sealed,0.497,56.9
Condiments,35.1,4.8,0.871,1.2,26.3,2.0,39.6,,0.314,188.7
Produce,77.4,4.04,0.987,4.9,0.8,0.6,39.6,Vacuum Sealed,0.495,14.6
Condiments,42.7,5.24,0.745,2.3,27.5,0.3,42.6,Standard Plastic,0.35,155.4
Bakery,39.9,6.35,0.922,8.4,16.5,12.3,77.7,Standard Plastic,0.136,4.2
MEAT,,5.92,0.987,23.4,17.7,24.2,78.6,Vacuum Sealed,0.067,1.2
Seafood,79.3,6.37,0.987,18.8,1.5,1.5,87.5,Modified Atmosphere,0.095,2.8
Snacks,11.5,5.02,0.36,12.0,19.0,24.6,39.2,Modified Atmosphere,0.085,188.8
Meat,71.3,6.05,0.986,22.8,10.0,4.4,83.9,Modified Atmosphere,0.055,3.6
Produce,85.1,3.68,0.97,2.9,0.9,8.4,89.5,Standard Plastic,0.046,3.4
Beverages,88.0,4.76,0.95,0.7,0.1,15.0,68.3,Modified Atmosphere,0.089,152.0
Seafood,74.9,6.72,0.977,15.5,3.4,6.9,65.6,,0.067,1.0
Dairy,63.2,5.84,0.981,3.3,3.9,12.3,50.2,Modified Atmosphere,0.252,3.6
Meat,59.2,6.02,,18.7,11.5,12.5,75.9,Glass,0.364,1.1
Beverages,85.5,5.37,0.957,2.9,1.4,7.0,57.6,Modified Atmosphere,0.092,291.3
Snacks,10.5,7.34,0.329,4.5,33.6,23.4,45.0,Cardboard,0.124,365.6
Meat,58.5,6.3,0.987,24.7,6.7,5.5,86.8,Modified Atmosphere,0.132,1.6
Produce,72.7,5.32,0.976,3.6,1.9,4.0,68.8,Standard Plastic,0.23,5.4
Bakery,28.4,6.28,0.874,7.2,5.1,25.7,40.0,Modified Atmosphere,0.016,3.4
Bakery,36.4,6.33,0.929,11.0,11.2,9.8,53.2,Glass,0.022,4.2
Snacks,2.6,6.1,0.496,11.3,20.7,,74.8,Standard Plastic,0.062,99.0
Produce,,4.85,0.957,1.5,0.3,16.2,75.9,Cardboard,0.044,2.1
Snacks,14.6,6.36,0.322,5.9,12.3,12.8,55.2,Modified Atmosphere,0.444,196.3
Seafood,79.8,6.59,0.971,16.7,1.5,19.5,46.4,Glass,0.352,1.0
Bakery,20.4,6.05,0.943,5.5,16.6,3.4,32.7,,0.311,5.4
Bakery,26.6,6.29,0.84,9.5,7.0,12.0,51.7,Cardboard,0.037,4.0
Produce,79.2,,0.971,4.2,1.1,2.9,38.4,Standard Plastic,0.468,7.6
Condiments,43.0,4.49,0.881,3.0,19.6,16.7,66.4,Vacuum Sealed,0.135,339.4
Meat,63.6,6.21,0.975,,14.0,23.4,34.2,Glass,0.146,1.0
Meat,59.0,6.43,0.973,18.8,8.8,4.7,64.3,Standard Plastic,0.245,1.7
Meat,61.5,5.88,0.963,20.8,17.0,4.0,81.3,Standard Plastic,0.076,2.3
Dairy,71.4,6.64,0.972,5.9,8.6,2.0,61.0,Standard Plastic,0.414,9.2
Produce,88.9,,0.971,,1.9,8.6,49.5,,0.403,4.7
Beverages,85.3,4.05,0.993,1.0,1.6,11.1,61.7,Glass,0.277,243.4
Snacks,,7.39,0.412,10.1,33.4,21.9,43.6,Standard Plastic,0.174,103.4
Meat,61.8,5.71,,23.1,13.8,13.6,60.7,Standard Plastic,0.249,1.1
Beverages,98.3,6.29,0.986,2.4,1.3,,34.9,Standard Plastic,0.495,33.8
Seafood,81.5,6.27,0.989,15.3,2.0,2.3,80.7,Glass,0.06,2.2
Produce,84.2,3.72,0.986,4.4,2.0,17.5,54.7,Standard Plastic,0.176,2.6
Produce,93.9,6.05,0.972,3.3,,2.1,65.7,Standard Plastic,0.304,5.1
Dairy,64.1,5.4,0.973,,4.9,24.5,65.2,Modified Atmosphere,0.096,4.1
Dairy,62.8,5.05,0.985,,8.0,4.2,36.4,Standard Plastic,0.371,8.8
Seafood,73.9,6.31,0.987,15.2,,8.8,65.3,Vacuum Sealed,0.395,1.0
Beverages,88.5,6.76,0.982,2.2,0.1,15.8,52.8,Glass,0.432,43.5
Condiments,37.4,3.36,0.844,1.8,7.2,5.7,55.7,Standard Plastic,,151.5
Beverages,94.6,6.47,0.974,0.8,0.9,10.7,92.4,Modified Atmosphere,0.045,30.9
Dairy,,6.78,0.98,4.1,6.0,5.8,56.6,Glass,0.386,7.8
Meat,62.5,5.56,,22.6,,0.2,94.3,Standard Plastic,0.424,4.2
Dairy,65.3,5.5,0.982,4.4,4.9,2.1,33.4,Modified Atmosphere,0.037,11.0
Condiments,67.7,4.27,0.849,2.6,6.9,8.2,85.4,Standard Plastic,0.177,144.9
Meat,56.9,5.8,0.986,23.2,12.0,19.9,92.9,Vacuum Sealed,0.296,1.0
Produce,79.4,3.75,0.979,1.3,1.1,16.3,41.1,Standard Plastic,0.465,3.7
Meat,66.3,6.45,0.984,22.0,7.6,23.4,74.3,Standard Plastic,0.213,1.0
Seafood,75.3,6.58,0.982,20.0,3.7,2.5,88.0,Glass,0.149,2.4
Produce,90.2,6.32,0.96,4.3,0.5,3.6,31.7,Modified Atmosphere,0.387,8.0
Snacks,6.3,6.12,0.362,7.6,20.3,26.2,40.4,Vacuum Sealed,0.152,429.0
Snacks,2.5,7.4,0.361,11.3,12.9,22.8,33.7,,0.1,96.1
Beverages,85.5,3.67,0.961,2.6,0.5,13.9,32.5,Standard Plastic,,55.7
Seafood,74.8,6.29,0.981,15.3,4.9,1.6,89.5,Modified Atmosphere,0.018,2.5
Condiments,55.1,5.06,0.867,3.1,11.3,17.0,68.7,Cardboard,0.222,178.9
Seafood,64.3,6.33,0.978,24.3,10.7,,52.9,Glass,0.104,1.1
Beverages,85.9,6.83,0.959,1.9,1.8,13.7,70.2,Modified Atmosphere,0.116,140.5
Meat,60.2,5.82,0.977,21.4,11.8,21.4,78.2,Glass,0.442,1.2
Beverages,95.7,5.57,0.966,2.5,0.6,23.3,65.9,Standard Plastic,0.298,32.8
Condiments,50.2,3.93,0.858,4.4,4.5,13.6,52.6,Glass,0.009,150.2
Beverages,88.0,5.73,0.987,1.3,0.5,14.9,71.9,Standard Plastic,0.211,105.6
Beverages,95.3,3.04,0.985,1.6,0.6,12.3,49.5,Standard Plastic,0.217,47.0
Condiments,60.0,3.1,0.91,4.1,13.8,22.2,60.2,Standard Plastic,0.201,137.0
Meat,64.9,6.24,0.98,22.8,17.2,9.0,85.9,Standard Plastic,0.164,1.0
Bakery,38.7,7.0,0.944,7.5,16.1,,50.9,Standard Plastic,0.118,4.6
Produce,86.2,4.73,0.955,3.8,0.4,2.0,91.1,Modified Atmosphere,0.427,8.5
Meat,74.7,6.43,0.971,21.5,4.8,16.5,,Standard Plastic,0.136,1.0
Dairy,54.7,5.73,0.987,5.0,7.4,22.3,32.7,Vacuum Sealed,0.163,3.7
Bakery,29.6,5.68,0.879,,15.4,8.3,65.3,Cardboard,0.103,4.6
Condiments,41.5,5.5,0.826,2.1,4.8,4.1,48.5,Glass,0.453,170.4
Produce,93.7,6.26,0.951,1.3,0.6,2.4,87.3,Cardboard,0.049,4.4
Beverages,89.7,,0.963,1.7,1.7,2.0,34.7,Cardboard,0.106,56.9
Meat,69.0,5.9,0.987,23.0,15.0,6.2,70.3,Vacuum Sealed,0.162,4.4
Condiments,64.4,3.17,0.852,4.1,7.4,19.2,30.8,Modified Atmosphere,0.033,199.4
Bakery,,5.58,0.873,10.9,19.4,20.7,43.0,,0.161,4.5
Snacks,8.4,6.53,0.397,10.5,32.3,11.7,45.6,,0.368,105.6
Dairy,65.4,5.66,0.975,5.9,2.6,18.8,89.1,Standard Plastic,0.359,2.7
Dairy,75.0,6.56,0.971,4.4,4.4,7.1,73.4,Standard Plastic,0.024,3.0
Meat,58.2,5.93,0.973,25.0,15.9,2.6,62.9,Glass,0.468,4.2
Produce,78.0,4.56,0.956,4.7,0.9,17.3,69.2,Vacuum Sealed,0.47,4.1
Meat,73.2,5.98,0.974,21.2,19.5,2.4,88.7,Standard Plastic,0.037,2.4
Condiments,36.8,5.15,0.754,4.4,0.4,12.8,80.0,Cardboard,0.455,114.3
Dairy,46.4,6.31,0.972,6.3,4.2,21.8,61.5,Standard Plastic,,2.8
Snacks,6.0,5.2,0.24,3.3,21.5,9.9,66.2,Modified Atmosphere,0.243,195.3
Seafood,74.1,6.07,0.977,18.9,,3.2,44.7,Modified Atmosphere,0.493,2.1
Condiments,54.4,5.07,0.763,4.1,5.4,17.9,65.4,Vacuum Sealed,0.171,366.9
Snacks,5.6,5.91,0.269,3.8,28.4,20.5,36.3,Modified Atmosphere,0.22,760.2
Produce,84.3,5.97,0.961,2.5,0.1,9.7,93.4,Cardboard,0.026,2.4
Dairy,69.4,4.44,0.982,5.0,3.2,24.5,88.6,Cardboard,0.394,3.2
Dairy,59.1,4.91,0.972,6.7,2.6,16.5,76.5,Standard Plastic,0.38,3.3
Condiments,64.2,3.75,0.91,3.0,28.7,3.4,93.3,,0.476,162.6
Snacks,9.2,6.18,0.204,7.0,20.5,23.3,48.1,Cardboard,0.205,446.2
Produce,84.3,4.34,0.976,,1.9,6.5,51.8,Standard Plastic,0.464,8.4
Snacks,,5.53,,9.2,26.4,13.8,66.6,Glass,0.135,172.5
Bakery,,7.1,0.827,10.1,13.4,14.5,84.1,Glass,0.433,5.9
Condiments,33.9,3.5,,3.8,24.7,21.3,71.7,Glass,,157.4
Meat,65.0,6.42,0.987,23.5,17.2,,63.6,Cardboard,0.395,1.0
Snacks,12.9,5.11,0.503,4.5,26.8,5.6,34.4,Standard Plastic,0.085,130.4
Meat,70.2,5.5,0.961,23.6,9.0,3.1,74.6,Modified Atmosphere,0.045,4.2
Dairy,77.1,4.79,0.981,4.0,8.4,24.2,77.3,Cardboard,0.326,2.3
Meat,58.2,5.52,0.974,21.8,4.8,4.9,79.7,Glass,0.409,2.3
Produce,84.5,5.62,0.96,,2.0,21.7,79.4,Standard Plastic,,1.7
Produce,93.4,5.43,0.967,1.4,0.3,21.3,62.9,Glass,0.108,1.8
Snacks,7.3,6.93,0.384,9.2,10.7,3.3,,Vacuum Sealed,0.271,189.4
Produce,73.5,4.06,0.968,1.8,,23.0,51.2,Standard Plastic,0.282,2.5
Snacks,4.7,5.66,0.433,8.4,10.4,1.5,54.2,Glass,0.277,160.9
Dairy,76.6,5.71,0.974,,7.4,4.7,70.6,Standard Plastic,0.106,6.7
Produce,74.0,3.98,0.96,1.3,0.5,16.6,87.3,Glass,0.343,3.1
Beverages,96.9,5.32,0.974,0.7,1.6,5.9,74.0,Standard Plastic,0.057,38.4
Meat,63.5,6.3,0.989,24.3,17.6,12.3,44.1,Modified Atmosphere,0.0,1.0
Produce,93.9,4.84,0.955,2.0,0.5,8.3,91.9,Vacuum Sealed,0.041,4.4
Bakery,31.5,5.79,0.893,5.1,11.3,16.9,61.5,Cardboard,0.437,4.9
Beverages,85.5,4.73,0.996,1.4,1.7,13.6,53.7,Glass,0.054,120.7
Produce,,,0.964,1.8,0.2,21.5,86.5,Standard Plastic,0.257,1.6
Dairy,58.1,4.29,0.983,5.5,7.9,7.2,93.9,Standard Plastic,0.186,6.2
Beverages,94.0,4.37,0.972,2.0,0.3,12.5,81.4,Standard Plastic,0.083,41.7
Dairy,65.3,6.22,0.981,4.4,7.9,14.7,30.8,Cardboard,0.273,2.3
Produce,94.1,4.88,0.976,1.9,1.2,17.5,83.7,Standard Plastic,0.343,1.9
Dairy,74.3,5.24,0.982,5.4,9.2,12.7,72.9,Cardboard,0.073,2.4
Snacks,10.2,5.94,0.44,7.7,27.7,21.7,51.5,Vacuum Sealed,0.022,526.9
Beverages,87.8,4.19,0.956,1.0,1.6,8.4,64.7,Standard Plastic,0.234,240.7
Dairy,53.5,5.06,0.981,7.1,2.9,12.2,71.2,Vacuum Sealed,0.26,4.2
Meat,,5.5,0.983,25.5,11.7,22.6,89.0,Standard Plastic,0.304,1.0
Bakery,36.5,7.32,0.843,5.4,19.3,13.2,88.6,Standard Plastic,0.287,4.2
Meat,73.1,13.8,0.982,19.1,17.3,2.2,31.6,Modified Atmosphere,0.167,3.8
Bakery,29.1,6.04,0.854,9.1,15.7,18.4,47.6,Glass,0.026,5.2
Condiments,64.4,4.41,0.834,4.3,3.7,21.2,56.9,Modified Atmosphere,0.435,239.7
Bakery,23.4,5.74,0.929,8.8,10.5,5.6,67.4,Standard Plastic,,4.5
Produce,79.2,3.53,0.98,3.4,1.0,19.4,57.7,Modified Atmosphere,0.488,3.6
Meat,55.8,5.53,0.981,24.1,16.7,10.9,66.0,Glass,0.305,1.2
Produce,76.6,4.13,0.962,1.4,0.8,0.9,42.1,Glass,0.163,9.7
Meat,70.7,5.74,0.968,22.8,8.7,0.7,84.2,Modified Atmosphere,0.08,4.8
Dairy,79.4,6.33,0.989,4.3,9.8,10.8,52.6,Vacuum Sealed,0.026,3.6
Beverages,85.9,6.85,0.989,1.1,1.5,21.3,59.5,Modified Atmosphere,0.061,69.5
Snacks,3.2,6.38,0.437,9.0,25.1,19.2,35.9,Modified Atmosphere,0.325,162.6
Snacks,11.2,6.77,0.357,9.2,27.5,23.7,49.2,Vacuum Sealed,0.113,474.5
Beverages,85.7,6.62,0.975,2.4,0.1,3.2,37.8,Cardboard,0.09,36.4
Meat,69.4,5.51,0.982,23.6,,10.6,63.8,Modified Atmosphere,0.054,1.3
Dairy,51.7,4.69,0.982,6.3,2.4,7.8,39.7,Standard Plastic,0.331,5.6
Dairy,74.0,5.91,0.978,7.0,7.8,9.0,37.9,,0.432,6.9
Beverages,85.7,5.43,0.961,2.9,1.2,11.8,,Standard Plastic,0.045,40.7
Beverages,92.4,5.55,0.957,2.7,1.6,16.2,55.7,Standard Plastic,0.204,96.8
Seafood,61.2,6.69,0.983,19.2,7.4,1.7,,Standard Plastic,0.261,1.9
Dairy,57.0,4.32,0.988,3.1,4.2,21.6,32.4,Standard Plastic,0.059,3.7
Snacks,14.3,5.18,0.477,,21.7,21.0,86.3,Standard Plastic,0.464,109.7
Snacks,13.5,7.38,0.624,8.1,25.5,21.7,80.4,Standard Plastic,0.491,81.7
Dairy,71.8,4.54,0.981,7.7,9.6,92.6,38.8,Standard Plastic,0.056,5.2
Snacks,14.3,6.39,0.567,11.2,21.0,8.0,69.1,Standard Plastic,0.249,98.4
Snacks,10.8,7.29,0.32,6.0,23.2,19.3,41.0,Modified Atmosphere,0.099,667.6
Meat,57.3,5.9,0.977,26.8,10.1,,72.9,Standard Plastic,0.324,1.0
Dairy,71.4,4.98,0.984,3.4,6.2,3.1,49.1,Modified Atmosphere,0.419,13.8
Produce,75.5,4.99,,4.9,1.7,0.7,91.6,Glass,0.041,6.8
Bakery,31.8,6.06,0.816,9.9,17.6,23.5,81.7,Standard Plastic,0.107,4.3
Produce,75.4,4.05,0.99,2.2,2.0,24.7,81.7,Standard Plastic,0.26,2.0
Meat,69.0,,0.981,24.2,6.2,11.7,,Standard Plastic,0.198,1.0
Snacks,3.5,6.51,0.252,,11.9,17.3,43.4,Standard Plastic,0.448,175.8
Seafood,71.9,6.18,0.979,21.9,6.2,2.4,60.5,Vacuum Sealed,,2.7
Produce,86.2,4.89,0.957,1.1,0.4,6.2,82.6,Standard Plastic,0.002,3.0
Produce,80.0,5.76,0.969,1.6,1.0,23.8,82.1,Modified Atmosphere,0.196,1.9
Dairy,56.7,5.42,0.977,3.5,3.2,0.8,60.6,Cardboard,0.058,9.5
Meat,66.6,6.35,0.972,20.6,17.4,20.1,36.6,Standard Plastic,0.361,1.0
Produce,72.0,5.25,0.978,3.6,1.4,9.3,,Glass,0.088,4.3
Meat,59.7,5.66,,20.6,3.6,3.1,94.1,Standard Plastic,0.058,2.2
Bakery,30.9,6.25,0.872,9.1,8.8,22.5,73.8,Standard Plastic,0.05,3.3
Meat,62.4,5.84,0.965,24.9,16.0,3.7,80.1,Vacuum Sealed,0.148,4.8
Meat,64.2,6.2,0.98,19.2,6.1,6.1,34.1,Glass,0.184,1.5
Bakery,26.3,5.93,0.871,5.4,11.1,8.0,92.5,Standard Plastic,0.394,5.4
Produce,74.4,5.78,0.967,2.4,0.5,9.0,45.0,Standard Plastic,0.399,4.9
Produce,71.4,4.09,0.955,1.8,0.1,15.7,50.6,Cardboard,0.097,2.6
Produce,90.8,4.7,0.971,1.4,0.2,8.7,86.0,Modified Atmosphere,0.015,3.7
Condiments,,3.31,0.845,1.1,11.7,1.9,60.9,Standard Plastic,0.222,184.0
Snacks,3.0,7.31,0.254,11.4,27.1,8.2,55.4,Glass,0.301,149.2
Dairy,53.2,4.68,0.985,7.0,2.7,10.9,31.5,Standard Plastic,0.349,3.8
Seafood,63.9,6.0,0.99,16.9,8.9,8.8,59.7,Vacuum Sealed,0.202,1.0
Bakery,40.6,5.89,0.856,9.1,10.7,17.6,54.4,Vacuum Sealed,0.119,7.1
Dairy,61.5,4.72,0.974,,2.1,3.7,54.6,Standard Plastic,,9.4
Bakery,34.9,5.94,0.901,5.6,7.9,12.7,89.9,Cardboard,0.484,4.3
Snacks,7.2,6.19,0.305,4.0,25.3,29.0,33.1,Vacuum Sealed,0.125,359.8
Dairy,66.0,4.44,0.976,6.1,7.2,6.7,31.0,Cardboard,0.125,7.5
Snacks,5.8,6.38,0.378,11.9,15.9,11.0,36.7,Modified Atmosphere,0.024,161.5
Condiments,42.2,3.15,0.728,1.6,5.2,19.0,31.0,Standard Plastic,0.19,211.0
Dairy,62.0,5.69,0.984,,5.2,3.2,61.8,Standard Plastic,0.101,7.9
Seafood,74.8,6.65,0.984,20.8,6.7,3.1,75.7,Glass,0.035,2.1
Seafood,79.1,6.91,0.971,20.1,6.0,1.0,75.3,Vacuum Sealed,0.053,3.2
Condiments,62.8,3.33,0.76,5.0,9.9,9.5,70.2,Glass,0.196,209.2
Seafood,71.6,6.47,0.978,20.0,7.4,1.1,80.4,Vacuum Sealed,0.125,3.4
Dairy,64.9,6.46,0.978,5.2,2.5,11.6,83.3,Standard Plastic,0.416,2.3
Dairy,51.3,,0.979,6.4,6.6,4.3,34.3,Glass,0.079,7.3
Beverages,88.4,5.42,0.965,2.7,0.2,16.4,81.4,Standard Plastic,0.477,38.9
Snacks,9.6,6.38,,4.9,31.1,21.6,52.5,Standard Plastic,0.01,317.5
Meat,,6.48,0.989,20.7,11.7,4.4,82.4,Cardboard,0.426,1.8
Beverages,95.0,3.86,0.987,1.8,0.9,6.0,54.0,,0.175,56.8
Produce,88.4,6.31,,2.8,1.2,17.3,68.5,Cardboard,0.178,1.6
Meat,74.8,6.1,0.976,23.5,14.0,23.0,54.3,Modified Atmosphere,0.141,1.0
Seafood,71.6,6.96,0.976,24.9,5.1,11.4,51.1,Modified Atmosphere,0.072,1.0
Dairy,71.8,,0.977,7.8,9.8,21.6,69.1,Glass,0.143,3.8
Bakery,39.3,5.75,0.941,11.8,8.5,18.1,32.6,Standard Plastic,0.258,5.2
Meat,69.8,5.57,0.963,24.5,19.1,0.0,83.9,Standard Plastic,0.067,3.3
Meat,59.7,5.84,0.978,22.8,12.4,15.8,46.7,Cardboard,0.085,1.0
Bakery,37.1,6.68,0.815,5.7,,0.3,68.6,Cardboard,0.335,6.0
Bakery,40.3,5.56,0.892,11.3,9.2,26.8,46.1,Vacuum Sealed,0.2,3.9
Snacks,4.0,5.23,0.212,4.2,15.0,11.4,54.2,Cardboard,,150.4
Meat,74.6,5.6,0.975,21.0,17.8,0.1,31.4,Standard Plastic,0.119,4.0
Meat,64.3,5.53,0.974,19.2,15.4,5.4,76.2,Glass,0.038,2.6
Meat,67.4,5.73,0.973,18.7,10.9,15.2,57.4,Vacuum Sealed,0.493,1.8
Seafood,80.3,6.79,0.98,20.2,4.1,3.3,80.2,Cardboard,0.133,1.8
Snacks,7.5,5.02,0.433,9.5,20.0,18.3,45.1,Glass,0.294,188.5
Seafood,79.3,6.51,0.974,24.5,8.5,19.9,41.5,Glass,0.309,1.0
Beverages,86.3,6.52,0.968,1.2,0.8,22.2,44.0,Standard Plastic,0.067,26.9
Meat,64.3,5.56,0.988,19.9,17.6,3.7,75.1,Vacuum Sealed,0.186,4.6
Produce,72.5,5.75,,2.1,0.6,10.8,93.7,Vacuum Sealed,0.259,5.1
Seafood,60.1,6.94,0.981,17.4,11.3,4.3,37.4,Standard Plastic,0.431,1.3
Condiments,52.1,3.37,0.91,4.5,19.7,17.8,67.5,Cardboard,0.185,204.8
Meat,63.7,6.28,0.975,20.0,14.1,18.3,38.1,Modified Atmosphere,0.111,1.1
Snacks,10.1,7.22,0.255,8.4,34.7,15.7,90.4,,0.12,158.9
Meat,64.7,6.23,0.976,19.3,4.8,18.1,45.4,Vacuum Sealed,0.25,1.2
Seafood,57.2,5.49,0.805,1.3,29.8,10.2,48.7,Standard Plastic,0.152,138.1
Condiments,55.8,4.45,0.807,3.1,6.3,17.7,59.5,Modified Atmosphere,0.356,375.4
Beverages,87.8,5.4,0.964,0.3,0.3,23.1,83.4,Standard Plastic,0.328,35.7
Condiments,31.8,4.32,0.713,,,7.6,,Cardboard,0.07,141.8
Meat,64.7,6.19,0.979,21.1,18.6,6.4,83.5,Modified Atmosphere,0.122,3.2
Produce,80.4,5.63,0.969,4.6,2.0,,86.1,Standard Plastic,0.467,2.2
Seafood,72.2,6.78,0.978,20.1,7.5,2.4,61.0,Cardboard,0.044,1.4
Snacks,3.6,5.3,0.56,11.5,30.1,13.8,86.9,Cardboard,0.305,94.1
Meat,62.0,6.02,0.989,21.6,12.3,4.3,77.1,Modified Atmosphere,0.024,3.2
Bakery,26.2,5.56,0.924,8.9,14.1,24.3,61.4,Cardboard,0.114,2.6
Produce,92.9,5.56,0.971,3.2,1.1,7.3,49.8,Glass,0.225,4.9
Produce,86.6,4.77,0.968,4.1,0.7,23.1,91.0,Vacuum Sealed,0.007,1.7
Meat,63.2,6.41,0.974,20.1,,6.1,91.3,Standard Plastic,0.332,1.1
Bakery,34.2,6.84,0.912,6.7,5.4,20.2,61.9,Standard Plastic,0.051,3.7
Bakery,39.4,6.64,0.856,11.6,19.8,2.2,73.5,Standard Plastic,0.235,5.6
Condiments,64.4,5.4,0.826,4.4,24.7,7.7,87.9,Cardboard,0.248,89.5
Dairy,75.7,6.5,0.95,5.7,0.5,7.9,75.0,Vacuum Sealed,0.039,4.9
Snacks,4.1,6.64,0.339,9.8,29.2,26.0,53.2,Cardboard,0.07,272.0
Condiments,47.1,5.3,0.878,2.5,24.1,13.2,74.5,Standard Plastic,0.076,104.9
Seafood,75.7,6.11,0.971,17.0,1.3,22.8,87.9,Modified Atmosphere,0.39,1.0
Seafood,64.2,6.29,,22.6,11.3,1.3,38.7,Standard Plastic,0.402,2.1
Condiments,70.0,,0.731,1.6,28.4,20.6,,Modified Atmosphere,,157.7
Condiments,49.9,3.6,0.76,2.2,15.5,,80.5,Glass,0.103,163.7
Bakery,26.5,6.69,0.918,9.0,8.4,18.9,51.2,Glass,0.148,4.6
Snacks,10.9,7.33,0.21,3.3,30.1,,67.6,Standard Plastic,0.21,138.6
Bakery,40.6,6.53,0.88,10.9,17.7,23.1,49.0,Cardboard,0.265,3.6
Snacks,,7.47,0.406,4.4,13.1,17.9,33.3,Standard Plastic,0.074,111.2
Beverages,89.2,6.16,0.979,0.6,1.3,16.8,88.6,Vacuum Sealed,0.427,39.9
Beverages,88.9,3.27,0.975,0.5,0.4,24.3,,Modified Atmosphere,0.295,64.6
Condiments,56.6,4.99,0.81,3.9,9.2,6.6,69.1,Modified Atmosphere,0.408,178.8
Dairy,59.7,5.91,0.982,5.4,9.1,16.1,62.3,Vacuum Sealed,0.004,3.6
Bakery,28.6,5.88,0.899,7.2,6.9,14.6,94.6,Standard Plastic,0.273,4.5
Dairy,,5.44,0.971,3.8,7.3,24.3,66.5,Glass,0.034,3.4
Seafood,,6.42,0.983,15.7,6.9,24.8,78.0,Standard Plastic,0.414,1.0
Snacks,,6.32,,3.8,26.4,24.1,49.5,Cardboard,0.467,126.3
Beverages,85.6,4.35,0.981,0.4,0.3,11.8,62.1,Standard Plastic,0.139,155.5
Bakery,34.1,7.34,0.863,7.8,10.3,22.6,31.1,Standard Plastic,0.472,5.0
Meat,55.2,6.02,0.981,18.0,4.7,2.5,75.8,Modified Atmosphere,0.447,4.1
Meat,67.4,6.47,0.973,27.8,8.7,17.6,44.5,Modified Atmosphere,0.256,1.2
Produce,82.2,5.32,0.956,1.4,,12.9,83.7,Vacuum Sealed,0.174,4.5
Condiments,55.6,3.39,0.709,2.6,24.8,1.8,42.8,Standard Plastic,0.313,205.7
Bakery,41.4,5.69,0.918,5.8,20.5,9.2,86.2,Vacuum Sealed,0.187,7.2
Condiments,43.3,4.43,0.829,1.1,14.0,21.7,50.1,Standard Plastic,0.122,154.1
Meat,70.5,6.07,0.97,22.3,7.4,6.1,73.2,Standard Plastic,0.107,2.0
Condiments,69.8,5.23,0.911,2.7,1.4,7.6,73.9,Vacuum Sealed,0.15,136.2
Condiments,62.2,4.06,0.77,1.4,25.8,7.8,30.1,Modified Atmosphere,0.045,217.4
Produce,89.8,14.5,0.974,4.1,0.6,7.2,91.0,Glass,,6.8
Produce,,5.92,0.965,1.8,0.3,11.7,61.3,Glass,0.111,4.1
Snacks,14.5,,0.286,9.7,16.0,6.1,94.3,Vacuum Sealed,0.422,163.6
Meat,64.2,5.7,0.982,18.8,17.1,0.8,76.0,Glass,0.137,4.4
Bakery,25.2,6.66,0.922,11.3,5.9,5.0,78.9,Glass,0.145,5.1
Produce,78.9,5.28,0.973,1.2,0.2,10.6,35.5,Standard Plastic,0.44,4.7
Meat,62.6,6.02,0.971,18.4,8.7,9.8,94.3,Modified Atmosphere,0.272,1.0
Snacks,2.9,6.44,0.33,4.7,19.0,23.4,54.5,Standard Plastic,0.128,108.7
Meat,65.3,5.96,0.988,21.3,7.7,16.4,37.8,Cardboard,0.39,1.0
Produce,84.3,5.2,0.976,2.8,0.9,2.1,81.8,Modified Atmosphere,0.028,6.0
Seafood,74.4,6.97,0.971,15.5,7.9,1.2,86.8,Glass,0.079,2.6
Produce,91.7,4.8,0.984,1.0,0.3,6.1,86.0,Glass,0.019,3.3
Dairy,49.5,4.71,0.976,4.2,7.1,11.4,66.0,Vacuum Sealed,0.401,4.2
Beverages,88.0,4.73,0.961,0.0,0.6,11.9,55.6,Vacuum Sealed,0.29,63.9
Dairy,74.8,6.29,0.989,5.8,8.6,7.6,55.9,Standard Plastic,0.234,4.7
Snacks,9.3,6.52,0.392,8.9,12.2,16.2,,Glass,0.17,134.5
Produce,80.5,6.13,0.976,4.6,2.0,2.7,45.1,Cardboard,0.479,5.2
